Metric,Isolation_forest,Gradient_Boosting,GNN_Model
F1 Score,0.8340220004209546,0.9991633199464525,0.9711975745325923
Precision,1.0,0.9989961519156768,0.9941379310344828
Recall,0.7152982309460924,0.9993305439330544,0.9492920645373724
Accuracy,0.7152982309460924,0.99952495190138,0.983754512635379
